,0,1,2
0,-1.2241428121924,10.054554852657,42.93196270242333
1,94.8278255313634,128.7843168750405,148.926244229078
2,3267.80569911003,4025.321001052856,3857.715528964996
3,12103.66782093048,14143.83502578735,13446.81287670135
4,21852.7212467193,24745.74136734008,24033.80094528198
5,28201.6842803955,30998.8290901184,30013.6751403808
6,29697.6220302581,32080.7953987121,30877.09248924255
7,26891.57599830627,27638.669119834,27518.91863536834
8,22144.4385318756,21555.1226612329,21504.95008623
9,16476.5228519439,15152.79051610827,15235.63136427104
10,11054.60856246948,9665.63055031001,9940.89574843645
11,6575.25975990295,5673.63859850168,5602.20606198906
12,3441.031000614166,2640.506963297724,3195.092094775289
13,1718.620513439178,1222.620725464075,1619.45657133311
14,694.192825157195,607.247061096131,473.454392135143
15,288.574761092662,213.1051788851618,266.1937636137008
16,119.5501897558569,74.8851961679756,110.5097078494727
17,18.30584185570478,11.11751912301406,-19.7447960413992
18,36.60618614405393,39.1557319723069,-44.910560414195
19,-7.515299886465073,-8.784537896513939,-75.64930360764265
