,0,1,2,3,4,5,6,7,8,9
0,-28.64462958,-29.06417236,40.89769632,28.49674441,-1.372364312,22.92460943,36.70583376,-13.51660486,-122.2769158,90.9915807
1,132.8979326,57.1049548,183.5022003,184.6347868,67.47419732,150.9525968,111.1779265,96.52854351,127.9631472,127.864186
2,4029.729167,3849.558074,3951.467927,3809.501384,3770.325712,3679.067475,4000.679766,4078.707824,3492.467497,3856.317401
3,13912.36222,13366.41022,14083.68059,13523.68895,13355.38955,13363.68697,14097.39332,13842.79288,12098.72965,13782.32977
4,24402.42279,23356.61705,25140.70559,24034.56829,23863.8153,23604.55583,25177.66057,24253.31793,21516.51703,24251.62172
5,30284.38365,29076.66368,31671.23838,30418.11714,29878.6487,29918.57171,31284.79937,30258.7733,27727.53622,30748.6523
6,30356.05636,29756.72575,32708.58523,31364.51946,30681.84816,30642.1307,32340.43232,29999.79626,28766.38363,31889.16384
7,25833.04488,25538.31317,28985.20069,27688.93033,26778.28701,26938.25898,28192.27384,25693.55525,25436.41258,28120.95231
8,19690.6865,19892.00058,22924.3352,22096.14563,21359.68672,21167.89201,22211.99326,19576.91051,20313.31715,22492.43312
9,13112.47032,13728.14827,16091.97624,15529.8219,15043.48786,14577.65089,15618.26029,13244.35102,14508.46728,15952.71822
10,8027.668333,9014.859256,10556.92627,10137.19292,9814.79567,9155.812399,10161.78086,8015.155719,9425.443371,10384.70304
11,4325.073711,5301.822947,5982.956647,5865.500996,5779.824606,5086.102281,5954.672706,4360.025326,5314.075198,5663.374844
12,2160.636383,2980.021339,3113.469431,3115.855286,3085.441153,2535.016306,3233.00936,2341.045106,2579.921465,3422.544951
13,1076.920893,1669.984086,1761.971601,1535.158575,1540.11548,1410.351968,1657.308095,1100.834635,1419.221759,1636.785761
14,496.0553625,651.7123486,728.5609945,508.5072096,708.650853,663.2957269,852.8358327,507.0892017,224.9366239,434.150698
15,235.0577471,274.5258777,390.7515104,156.4961031,237.3244958,282.1072322,325.4295336,214.6913534,77.81027155,282.5618027
16,97.69462547,47.34350472,19.31738802,142.3966521,52.96204367,95.48370724,92.41836111,101.7261315,427.0451364,82.9152055
17,-45.50949775,16.3571272,178.9010841,34.02456914,165.4545156,-6.452319346,29.28870847,4.640098661,80.40487693,-193.3586961
18,11.76988932,-87.32403394,97.54541889,45.62191674,42.86481965,25.54729404,-23.5928817,58.57708612,-161.1982489,47.78165905
19,-8.36943811,46.19742606,118.4354236,-34.27660031,-63.28213179,-38.93232762,-22.84258478,-11.60408313,162.90401,58.6281643
