,0,1,2,3
0,146.1805331297218,-19.85986286774277,63.4606563076376,13.35689491778612
1,110.0656095817685,117.3603334277868,79.9026673957705,146.957432247698
2,3726.65037465095,3772.336158037185,3913.115682601928,3846.639007568359
3,13258.33996248245,13648.1437644958,13952.7408542633,13536.87597942352
4,23719.19655513763,23803.0134887695,24893.89756584167,23698.97513580322
5,29867.0713882446,29822.25335502624,31491.78668403625,29384.9627113342
6,30379.1996564865,30185.66557884216,32522.0657711029,29634.2413988113
7,26615.46401405334,26383.46894741058,28508.7701854705,25361.83217000961
8,20608.44674777984,20668.56585654616,22373.92415904998,19450.2167181968
9,14076.62734116613,14562.18422102928,15493.22732377052,13225.94184470176
10,8683.47190064936,9463.98192198574,9841.27008968591,8117.41569291055
11,4814.88257196173,5569.56346356123,5643.432753771543,4501.09858895838
12,2413.425350397825,3072.9734490513,2798.96559369564,2073.194504037499
13,1162.577588971704,1491.943993724882,1144.569665130227,1008.636930163949
14,516.509781830012,781.8399677127,588.845056183636,351.6137712709605
15,174.0014706719666,302.7736182287335,71.3800578787922,118.662118401378
16,77.054865732789,98.2921053953468,6.51751690357923,32.4658388793468
17,-2.56629793345928,32.8369065523147,19.71615898236632,-43.7059065364301
18,52.9778223857283,9.36165071651339,-33.2743112966418,67.3521683812141
19,45.79499197751284,29.584099754691124,24.385509587824345,-66.18794359266758
