,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.8593005279399222e-05
9,0.00011155803167639533
10,0.0005949761698502698
11,0.0013882777407161484
12,0.0021381956316872675
13,0.0036380314304551575
14,0.005391971624703729
15,0.007400016225801664
16,0.009191142390591267
17,0.01075295482223737
18,0.013461335925057938
19,0.015549950179774896
20,0.017086971961361996
21,0.019349120902461436
22,0.02223103675260063
23,0.02331562869676418
24,0.024988999219203833
25,0.027114799544051493
26,0.028472088845774124
27,0.0288067630281148
28,0.029724017942498904
29,0.03045534270859207
30,0.03063507513024888
31,0.03107510955987891
32,0.03153373700160955
33,0.031310620958265645
34,0.03160810915596812
35,0.030374772986760945
36,0.030467738129573263
37,0.030058691974318208
38,0.028874937272576062
39,0.028013461449972965
40,0.026873090425851842
41,0.02583807975770469
42,0.02396638383743266
43,0.0229561640699103
44,0.022200048374998005
45,0.020446108260784968
46,0.01941729541249515
47,0.018376086999978725
48,0.01770054112739672
49,0.016070554315774643
50,0.015122311051527504
51,0.013727835616009543
52,0.013008906104005291
53,0.011552454019238212
54,0.011267361278896715
55,0.010319117965082114
56,0.009408060709120036
57,0.008168527028828976
58,0.007245074469210522
59,0.006482761228198797
60,0.006005540764363104
61,0.005602692319826019
62,0.005082088163817389
63,0.0044995073176323785
64,0.003700008094256191
65,0.0037247987511364045
66,0.003067845907935407
67,0.0028323345077296835
68,0.002590625445009209
69,0.002187776976825262
70,0.0018964865689667931
71,0.001791126201624138
72,0.001400673079842818
73,0.0013882777511753375
74,0.001146568664808001
75,0.001152766343238909
76,0.0009668362827142118
77,0.0008862665931701486
78,0.0007251272031680855
79,0.0006445575245379587
80,0.0005887785023332981
81,0.0004400344623718411
82,0.0004276391259736556
83,0.0003408717670936312
84,0.00032227876135948463
85,0.0002479067388776457
86,0.0001983253919206618
87,0.00021072072922834195
88,0.00017353471821479616
89,0.00014254637471822207
90,8.67673579705297e-05
91,6.817435405537253e-05
92,6.197668608365348e-05
93,4.338367898526485e-05
94,1.2395336852932815e-05
95,3.098834258707939e-05
96,1.2395336852932815e-05
97,6.197668426466407e-06
98,1.2395336852932815e-05
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
