,0
0,1.4692112159764292e-05
1,9.09244826630129e-06
2,-9.3508109131335e-06
3,-6.05223155503154e-06
4,4.0935374215678166e-05
5,-2.226186825282639e-05
6,-2.151245332271401e-05
7,-8.55883875061636e-06
8,1.5685846847190987e-05
9,0.00014255097789828142
10,0.0009194640192617953
11,0.0017164387359116517
12,0.002955006490992673
13,0.004668775469326647
14,0.00630309612279234
15,0.008408700618019793
16,0.01067383380359388
17,0.013201040041167289
18,0.01588010803970974
19,0.01798401479027234
20,0.019784867399721406
21,0.021863177775230724
22,0.024073121501714922
23,0.02554085323936306
24,0.027577472588745877
25,0.029144444270059466
26,0.030281484869192354
27,0.03120812885754276
28,0.03239226572623011
29,0.031872717139776796
30,0.032778602762846276
31,0.03213606958161108
32,0.03252004038949963
33,0.032439776652609
34,0.03124529194610659
35,0.030983035729150288
36,0.029705528213526122
37,0.029004158219322562
38,0.028124203599873
39,0.026666411795304157
40,0.02550628685276024
41,0.02441986014309805
42,0.02364272366685327
43,0.021950566508166958
44,0.020960356057912577
45,0.019735250061785337
46,0.018696069637371693
47,0.016953269863734022
48,0.015965171565767378
49,0.014601421549741644
50,0.01338149427465396
51,0.012627599797269795
52,0.011786081835452933
53,0.01051533717327402
54,0.009497844675934175
55,0.008883975253411336
56,0.008163311249518301
57,0.007339265477639856
58,0.006305955186689971
59,0.005824492738611298
60,0.005259802805085201
61,0.004679479529841046
62,0.00400486199396255
63,0.0035738575734285405
64,0.0032184195079025812
65,0.0028152151571703143
66,0.0025448156029597158
67,0.002078925227806394
68,0.001954082135853241
69,0.0016242050796790863
70,0.0014422279473365052
71,0.001220979083882412
72,0.0011326388226393647
73,0.0008833707838675764
74,0.0008567835936901247
75,0.0006998585238306987
76,0.0005357511402053206
77,0.0004806898684819316
78,0.0004503124634993583
79,0.00035521857614639885
80,0.00022688999180786595
81,0.00019995246566395508
82,0.00019765522978332228
83,0.00016608688076757971
84,0.00013267594471244593
85,8.956737639209678e-05
86,9.639650699222457e-06
87,9.791043521545362e-05
88,8.98269776143934e-05
89,6.109020125677489e-05
90,6.452675100376837e-05
91,4.171929462870594e-05
92,-5.370870528764726e-05
93,6.414519333475255e-07
94,1.2212595265737036e-05
95,-2.7637248223300048e-05
96,-4.6220754171599765e-05
97,-8.244501501053492e-06
98,2.91727412502496e-05
99,1.1471987917843762e-05
100,-2.1412842841073143e-05
101,4.985780088873071e-05
102,-2.3906608305424015e-05
103,-1.7257163733574998e-06
104,-2.0081799220861285e-05
105,-5.088862940993977e-05
106,-5.073593897009232e-05
107,-6.913912839578984e-06
108,1.4579578589746234e-05
109,4.078143624042241e-05
